10 202738 10:29 1 0
60 202738 6:21 1 1
62 203109 5:50 1 1
64 202340 5:24 1 0
78 203096 4:03 1 1
89 202738 2:39 1 0
129 203935 0:01 1 0
168 202340 9:44 2 0
179 202323 8:50 2 0
183 201973 8:32 2 0
230 203109 5:35 2 0
245 203096 4:23 2 0
300 202323 0:47 2 0
317 202738 11:44 3 0
326 203109 10:53 3 1
355 202738 8:57 3 0
375 203109 6:48 3 0
416 203482 4:10 3 1
430 203482 2:42 3 0
450 203935 1:21 3 0
455 202738 0:56 3 0
466 202738 0:00 3 0
472 203935 11:25 4 0
482 201973 10:19 4 1
515 202323 7:03 4 0
520 203109 6:25 4 0
529 201973 5:54 4 0
550 202738 3:19 4 1
559 203482 2:38 4 0
585 203109 0:23 4 0
588 202738 0:14 4 0
595 201973 0:02 4 0
